Date,CORP10
2025-02-17,3331.44
2024-12-31,3289.50
2024-09-30,3392.48
2024-06-28,3205.37
2024-03-29,3208.19
2023-12-29,3221.05
2023-09-29,2968.65
2023-06-30,3063.39
2023-03-31,3072.15
2022-12-30,2968.20
2022-09-30,2864.12
2022-06-30,3016.66
2022-03-31,3252.71
2021-12-31,3523.57
2021-09-30,3515.50
2021-06-30,3515.56
2021-03-31,3395.15
2020-12-31,3560.67
2020-09-30,3455.36
2020-06-30,3403.10
2020-03-31,3122.54
2019-12-31,3240.30
2019-09-30,3202.42
2019-06-28,3107.73
2019-03-29,2974.53
2018-12-31,2829.02
2018-09-28,2834.06
2018-06-29,2806.89
2018-03-30,2834.54
2017-12-29,2901.78
2017-09-29,2868.16
2017-06-30,2830.31
2017-03-31,2760.12
2016-12-30,2726.78
2016-09-30,2806.15
2016-06-30,2767.19
2016-03-31,2671.78
2015-12-31,2569.73
2015-09-30,2584.80
2015-06-30,2563.65
2015-03-31,2647.34
2014-12-31,2587.44
2014-09-30,2542.53
2014-06-30,2544.49
2014-03-31,2478.53
2013-12-31,2407.75
2013-09-30,2381.27
2013-06-28,2361.89
2013-03-29,2442.63
2012-12-31,2445.25
2012-09-28,2419.55
2012-06-29,2330.30
2012-03-30,2272.94
2011-12-30,2226.65
2011-09-30,2184.58
2011-06-30,2124.04
2011-03-31,2076.60
2010-12-31,2058.93
2010-09-30,2092.52
2010-06-30,1998.43
2010-03-31,1932.40
2009-12-31,1889.00
2009-09-30,1863.91
2009-06-30,1723.99
2009-03-31,1560.91
2008-12-31,1591.62
2008-09-30,1530.70
2008-06-30,1660.20
2008-03-31,1671.70
2007-12-31,1674.29
2007-09-28,1641.98
2007-06-29,1612.62
2007-03-30,1624.99
2006-12-29,1601.26
2006-09-29,1579.83
2006-06-30,1511.29
2006-03-31,1517.25
2005-12-30,1535.25
2005-09-30,1528.65
2005-06-30,1545.57
2005-03-31,1492.85
2004-12-31,1509.94
2004-09-30,1490.32
2004-06-30,1429.02
2004-03-31,1479.63
2003-12-31,1432.74
2003-09-30,1424.43
2003-06-30,1425.79
2003-03-31,1357.10
2002-12-31,1323.64
2002-09-30,1281.86
2002-06-28,1229.84
2002-03-29,1197.56
2001-12-31,1202.03
2001-09-28,1191.78
2001-06-29,1149.31
2001-03-30,1137.24
2000-12-29,1089.65
2000-09-29,1056.90
2000-06-30,1025.71
2000-03-31,1013.22
1999-12-31,998.95
1999-09-30,998.61
1999-06-30,995.80
1999-03-31,1011.63
1998-12-31,1018.87
1998-09-30,1012.75
1998-06-30,977.32
1998-03-31,952.75
1997-12-31,938.42
1997-09-30,911.81
1997-06-30,877.45
1997-03-31,842.74
1996-12-31,851.30
1996-09-30,822.70
1996-06-28,806.55
1996-03-29,802.94
1995-12-29,824.23
1995-09-29,785.42
1995-06-30,767.30
1995-03-31,714.17
1994-12-30,674.24
1994-09-30,671.35
1994-06-30,666.50
1994-03-31,677.13
1993-12-31,701.84
1993-09-30,702.87
1993-06-30,679.27
1993-03-31,657.33
1992-12-31,625.76
1992-09-30,624.55
1992-06-30,596.39
1992-03-31,571.52
1991-12-31,575.72
1991-09-30,546.91
1991-06-28,516.57
1991-03-29,506.55
1990-12-31,485.81
1990-09-28,467.31
1990-06-29,467.42
1990-03-30,449.86
1989-12-29,453.80
1989-09-29,440.08
1989-06-30,434.43
1989-03-31,402.55
1988-12-30,397.77
1988-09-30,393.66
1988-06-30,384.60
1988-03-31,380.35
1987-12-31,364.18
1987-09-30,342.23
1987-06-30,355.12
1987-03-31,363.58
1986-12-31,355.10
1986-09-30,341.21
1986-06-30,333.80
1986-03-31,329.50
1985-12-31,304.72
1985-09-30,280.76
1985-06-28,275.21
1985-03-29,251.11
1984-12-31,245.62
1984-09-28,226.81
1984-06-29,204.20
1984-03-30,211.14
1983-12-30,210.61
1983-09-30,208.85
1983-06-30,207.10
1983-03-31,203.00
1982-12-31,192.74
1982-09-30,174.66
1982-06-30,148.42
1982-03-31,144.06
1981-12-31,138.46
1981-09-30,124.00
1981-06-30,132.61
1981-03-31,134.15
1980-12-31,134.49
1980-09-30,132.82
1980-06-30,145.01
1980-03-31,118.49
1979-12-31,134.88
1979-09-28,143.68
1979-06-29,146.51
1979-03-30,140.75
1978-12-29,137.79
1978-09-29,141.17
1978-06-30,136.83
1978-03-31,137.79
1977-12-30,137.30
1977-09-30,138.10
1977-06-30,136.39
1977-03-31,131.52
1976-12-31,133.09
1976-09-30,125.01
1976-06-30,118.71
1976-03-31,117.56
1975-12-31,111.52
1975-09-30,103.30
1975-06-30,105.30
1975-03-31,100.78
1974-12-31,95.56
1974-09-30,90.10
1974-06-28,92.09
1974-03-29,98.73
1973-12-31,101.51
1973-09-28,102.91
1973-06-29,99.67
1973-03-30,100.18
