Date,APE
2025-02-17,25.8012
2024-12-31,24.8222
2024-09-30,24.7290
2024-06-28,24.0037
2024-03-29,23.5144
2023-12-29,21.5115
2023-09-29,19.4981
2023-06-30,19.9494
2023-03-31,18.3670
2022-12-30,17.1622
2022-09-30,16.1275
2022-06-30,17.4225
2022-03-31,21.4065
2021-12-31,24.0292
2021-09-30,23.4978
2021-06-30,27.2585
2021-03-31,28.3788
2020-12-31,26.3233
2020-09-30,23.0775
2020-06-30,19.5589
2020-03-31,15.6904
2019-12-31,19.6304
2019-09-30,18.0747
2019-06-28,17.8159
2019-03-29,17.3447
2018-12-31,15.6600
2018-09-28,19.3383
2018-06-29,19.1338
2018-03-30,19.3660
2017-12-29,20.6120
2017-09-29,19.6790
2017-06-30,19.4660
2017-03-31,19.5434
2016-12-30,18.5581
2016-09-30,17.9349
2016-06-30,17.6827
2016-03-31,17.1688
2015-12-31,16.9815
2015-09-30,15.8875
2015-06-30,16.9381
2015-03-31,16.9944
2014-12-31,17.0816
2014-09-30,16.6712
2014-06-30,17.0306
2014-03-31,16.6197
2013-12-31,16.5286
2013-09-30,15.2945
2013-06-28,14.8353
2013-03-29,14.6946
2012-12-31,13.7244
2012-09-28,13.9058
2012-06-29,13.2265
2012-03-30,13.9863
2011-12-30,12.5990
2011-09-30,11.7680
2011-06-30,14.3071
2011-03-31,14.9771
2010-12-31,15.0900
2010-09-30,14.7629
2010-06-30,14.3600
2010-03-31,17.6521
2009-12-31,19.3061
2009-09-30,17.2822
2009-06-30,13.7741
2009-03-31,11.3337
2008-12-31,11.2484
2008-09-30,14.5903
2008-06-30,14.9085
2008-03-31,15.1192
2007-12-31,15.5655
2007-09-28,16.1956
2007-06-29,16.3931
2007-03-30,16.0085
2006-12-29,16.5212
2006-09-29,16.1784
2006-06-30,15.9123
2006-03-31,16.7943
2005-12-30,16.8977
2005-09-30,17.3732
2005-06-30,17.4205
2005-03-31,18.5755
2004-12-31,19.1424
2004-09-30,17.9703
2004-06-30,19.2588
2004-03-31,20.2936
2003-12-31,22.1295
2003-09-30,20.9566
2003-06-30,22.5951
2003-03-31,18.0736
2002-12-31,22.1816
2002-09-30,21.0246
2002-06-28,24.8769
2002-03-29,28.0145
2001-12-31,25.6976
2001-09-28,23.7921
2001-06-29,23.4921
2001-03-30,21.1332
2000-12-29,23.6910
2000-09-29,26.3654
2000-06-30,26.7547
2000-03-31,28.6034
1999-12-31,30.3184
1999-09-30,27.1012
1999-06-30,29.1697
1999-03-31,27.3979
1998-12-31,27.2208
1998-09-30,22.1776
1998-06-30,25.7211
1998-03-31,24.1861
1997-12-31,22.0427
1997-09-30,21.9407
1997-06-30,21.0994
1997-03-31,18.5182
1996-12-31,19.1580
1996-09-30,18.4658
1996-06-28,18.8397
1996-03-29,18.8967
1995-12-29,17.0330
1995-09-29,16.2916
1995-06-30,15.9198
1995-03-31,16.3772
1994-12-30,16.8413
1994-09-30,18.1173
1994-06-30,19.7620
1994-03-31,20.6208
1993-12-31,23.4786
1993-09-30,25.0771
1993-06-30,24.0707
1993-03-31,27.2537
1992-12-31,20.2909
1992-09-30,20.1285
1992-06-30,20.6686
1992-03-31,25.6976
1991-12-31,20.5351
1991-09-30,18.4109
1991-06-28,18.1818
1991-03-29,17.4177
1990-12-31,15.4619
1990-09-28,14.0020
1990-06-29,17.7952
1990-03-30,14.5460
1989-12-29,14.7990
1989-09-29,13.6814
1989-06-30,13.0695
1989-03-31,12.3016
1988-12-30,12.1914
1988-09-30,12.4217
1988-06-30,14.7918
1988-03-31,14.7516
1987-12-31,15.6380
1987-09-30,22.3804
1987-06-30,20.0660
1987-03-31,20.1869
1986-12-31,16.3297
1986-09-30,15.9641
1986-06-30,17.0988
1986-03-31,15.3633
1985-12-31,13.4659
1985-09-30,11.5095
1985-06-28,11.3993
1985-03-29,10.7026
1984-12-31,9.9311
1984-09-28,10.2215
1984-06-29,10.0776
1984-03-30,11.2020
1983-12-30,12.4101
1983-09-30,13.2750
1983-06-30,13.2474
1983-03-31,11.9500
1982-12-31,10.1692
1982-09-30,8.4982
1982-06-30,7.4111
1982-03-31,7.3176
1981-12-31,8.0678
1981-09-30,7.9196
1981-06-30,9.0490
1981-03-31,9.0305
1980-12-31,9.0628
1980-09-30,8.5289
1980-06-30,7.5307
1980-03-31,7.1492
1979-12-31,7.4186
1979-09-28,7.7587
1979-06-29,7.6684
1979-03-30,8.2593
1978-12-29,8.2569
1978-09-29,9.2796
1978-06-30,8.9031
1978-03-31,8.1769
1977-12-30,8.7488
1977-09-30,9.2373
1977-06-30,9.8606
1977-03-31,10.2095
1976-12-31,11.0215
1976-09-30,11.5016
1976-06-30,12.2394
1976-03-31,13.1252
1975-12-31,11.6978
1975-09-30,10.7388
1975-06-30,10.8417
1975-03-31,9.8186
1974-12-31,7.3326
1974-09-30,7.6925
1974-06-28,10.6700
1974-03-29,12.0797
1973-12-31,12.2550
1973-09-28,14.5739
1973-06-29,15.4231
1973-03-30,17.5071
1972-12-29,19.1019
1972-09-29,18.4558
1972-06-30,18.5685
1972-03-31,19.1429
1971-12-31,18.2957
1971-09-30,18.6958
1971-06-30,19.2843
1971-03-31,18.7146
1970-12-31,16.7241
1970-09-30,15.4514
1970-06-30,14.1754
1970-03-31,15.4269
1969-12-31,15.0918
1969-09-30,16.3656
1969-06-30,17.1121
1969-03-31,17.2051
1968-12-31,18.1257
1968-09-30,17.4312
1968-06-28,18.2716
1968-03-29,16.2230
1967-12-29,17.6685
1967-09-29,17.9758
1967-06-30,18.1643
1967-03-31,16.3110
1966-12-30,14.8484
1966-09-30,13.4552
1966-06-30,16.0797
1966-03-31,16.9639
1965-12-31,17.4396
1965-09-30,17.0702
1965-06-30,17.3802
1965-03-31,18.7304
1964-12-31,17.8046
1964-09-30,18.3799
1964-06-30,18.7362
1964-03-31,19.4054
1963-12-31,18.1646
1963-09-30,17.8803
1963-06-28,17.7417
1963-03-29,17.3359
1962-12-31,17.1935
1962-09-28,16.0313
1962-06-29,14.6783
1962-03-30,20.6380
1961-12-29,21.2315
1961-09-29,21.1171
1961-06-30,21.3333
1961-03-31,19.9571
1960-12-30,18.6849
1960-09-30,16.3171
1960-06-30,16.0338
1960-03-31,16.4702
1959-12-31,17.6147
1959-09-30,17.0811
1959-06-30,18.9838
1959-03-31,19.9424
1958-12-31,19.1038
1958-09-30,16.9695
1958-06-30,14.4537
1958-03-31,12.5672
1957-12-31,11.7965
1957-09-30,13.2978
1957-06-28,14.1403
1957-03-29,13.0118
1956-12-31,13.5669
1956-09-28,13.2216
1956-06-29,13.0472
1956-03-30,13.3554
1955-12-30,12.7039
1955-09-30,12.9970
1955-06-30,12.1751
1955-03-31,13.5481
1954-12-31,12.9424
1954-09-30,11.7920
1954-06-30,11.0644
1954-03-31,10.1660
