Date,SP500
2025-02-14,6114.63
2024-12-31,5881.63
2024-09-30,5762.48
2024-06-28,5460.48
2024-03-29,5254.35
2023-12-29,4769.83
2023-09-29,4288.05
2023-06-30,4450.38
2023-03-31,4109.31
2022-12-30,3839.50
2022-09-30,3585.62
2022-06-30,3785.38
2022-03-31,4530.41
2021-12-31,4766.18
2021-09-30,4307.54
2021-06-30,4297.50
2021-03-31,3972.89
2020-12-31,3756.07
2020-09-30,3363.00
2020-06-30,3100.29
2020-03-31,2584.59
2019-12-31,3230.78
2019-09-30,2976.74
2019-06-28,2941.76
2019-03-29,2834.40
2018-12-31,2506.85
2018-09-28,2913.98
2018-06-29,2718.37
2018-03-30,2640.87
2017-12-29,2673.61
2017-09-29,2519.36
2017-06-30,2423.41
2017-03-31,2362.72
2016-12-30,2238.83
2016-09-30,2168.27
2016-06-30,2098.86
2016-03-31,2059.74
2015-12-31,2043.94
2015-09-30,1920.03
2015-06-30,2063.11
2015-03-31,2067.89
2014-12-31,2058.90
2014-09-30,1972.29
2014-06-30,1960.23
2014-03-31,1872.34
2013-12-31,1848.36
2013-09-30,1681.55
2013-06-28,1606.28
2013-03-29,1569.19
2012-12-31,1426.19
2012-09-28,1440.67
2012-06-29,1362.16
2012-03-30,1408.47
2011-12-30,1257.61
2011-09-30,1131.42
2011-06-30,1320.64
2011-03-31,1325.83
2010-12-31,1257.64
2010-09-30,1141.20
2010-06-30,1030.71
2010-03-31,1169.43
2009-12-31,1115.10
2009-09-30,1057.08
2009-06-30,919.32
2009-03-31,797.87
2008-12-31,903.25
2008-09-30,1166.36
2008-06-30,1280.00
2008-03-31,1322.70
2007-12-31,1468.36
2007-09-28,1526.75
2007-06-29,1503.35
2007-03-30,1420.86
2006-12-29,1418.30
2006-09-29,1335.85
2006-06-30,1270.20
2006-03-31,1294.83
2005-12-30,1248.29
2005-09-30,1228.81
2005-06-30,1191.33
2005-03-31,1180.59
2004-12-31,1211.92
2004-09-30,1114.58
2004-06-30,1140.84
2004-03-31,1126.21
2003-12-31,1111.92
2003-09-30,995.97
2003-06-30,974.50
2003-03-31,848.18
2002-12-31,879.82
2002-09-30,815.28
2002-06-28,989.81
2002-03-29,1147.39
2001-12-31,1148.08
2001-09-28,1040.94
2001-06-29,1224.42
2001-03-30,1160.33
2000-12-29,1320.28
2000-09-29,1436.51
2000-06-30,1454.60
2000-03-31,1498.58
1999-12-31,1469.25
1999-09-30,1282.71
1999-06-30,1372.71
1999-03-31,1286.37
1998-12-31,1229.23
1998-09-30,1017.01
1998-06-30,1133.84
1998-03-31,1101.75
1997-12-31,970.43
1997-09-30,947.28
1997-06-30,885.14
1997-03-31,757.12
1996-12-31,740.74
1996-09-30,687.31
1996-06-28,670.63
1996-03-29,645.50
1995-12-29,615.93
1995-09-29,584.41
1995-06-30,544.75
1995-03-31,500.71
1994-12-30,459.27
1994-09-30,462.69
1994-06-30,444.27
1994-03-31,445.77
1993-12-31,466.45
1993-09-30,458.93
1993-06-30,450.53
1993-03-31,451.67
1992-12-31,435.71
1992-09-30,417.80
1992-06-30,408.14
1992-03-31,403.69
1991-12-31,417.09
1991-09-30,387.86
1991-06-28,371.16
1991-03-29,375.22
1990-12-31,330.22
1990-09-28,306.05
