Date,10Y
2025-02-17,4.477
2024-12-31,4.572
2024-09-30,3.782
2024-06-28,4.397
2024-03-29,4.201
2023-12-29,3.880
2023-09-29,4.572
2023-06-30,3.840
2023-03-31,3.470
2022-12-30,3.877
2022-09-30,3.832
2022-06-30,3.016
2022-03-31,2.341
2021-12-31,1.512
2021-09-30,1.488
2021-06-30,1.469
2021-03-31,1.742
2020-12-31,0.916
2020-09-30,0.685
2020-06-30,0.657
2020-03-31,0.670
2019-12-31,1.919
2019-09-30,1.666
2019-06-28,2.006
2019-03-29,2.406
2018-12-31,2.685
2018-09-28,3.062
2018-06-29,2.861
2018-03-30,2.740
2017-12-29,2.406
2017-09-29,2.334
2017-06-30,2.305
2017-03-31,2.388
2016-12-30,2.445
2016-09-30,1.595
2016-06-30,1.471
2016-03-31,1.770
2015-12-31,2.270
2015-09-30,2.038
2015-06-30,2.354
2015-03-31,1.924
2014-12-31,2.172
2014-09-30,2.490
2014-06-30,2.531
2014-03-31,2.719
2013-12-31,3.029
2013-09-30,2.611
2013-06-28,2.487
2013-03-29,1.849
2012-12-31,1.758
2012-09-28,1.634
2012-06-29,1.646
2012-03-30,2.211
2011-12-30,1.877
2011-09-30,1.916
2011-06-30,3.161
2011-03-31,3.472
2010-12-31,3.295
2010-09-30,2.512
2010-06-30,2.933
2010-03-31,3.828
2009-12-31,3.839
2009-09-30,3.307
2009-06-30,3.535
2009-03-31,2.665
2008-12-31,2.214
2008-09-30,3.825
2008-06-30,3.971
2008-03-31,3.411
2007-12-31,4.025
2007-09-28,4.588
2007-06-29,5.026
2007-03-30,4.646
2006-12-29,4.704
2006-09-29,4.630
2006-06-30,5.138
2006-03-31,4.849
2005-12-30,4.393
2005-09-30,4.326
2005-06-30,3.915
2005-03-31,4.483
2004-12-31,4.220
2004-09-30,4.121
2004-06-30,4.583
2004-03-31,3.837
2003-12-31,4.248
2003-09-30,3.939
2003-06-30,3.515
2003-03-31,3.798
2002-12-31,3.816
2002-09-30,3.596
2002-06-28,4.799
2002-03-29,5.396
2001-12-31,5.051
2001-09-28,4.588
2001-06-29,5.412
2001-03-30,4.917
2000-12-29,5.112
2000-09-29,5.801
2000-06-30,6.031
2000-03-31,6.004
1999-12-31,6.442
1999-09-30,5.877
1999-06-30,5.780
1999-03-31,5.242
1998-12-31,4.648
1998-09-30,4.420
1998-06-30,5.446
1998-03-31,5.654
1997-12-31,5.741
1997-09-30,6.102
1997-06-30,6.500
1997-03-31,6.903
1996-12-31,6.418
1996-09-30,6.703
1996-06-28,6.711
1996-03-29,6.327
1995-12-29,5.572
1995-09-29,6.182
1995-06-30,6.203
1995-03-31,7.196
1994-12-30,7.822
1994-09-30,7.603
1994-06-30,7.320
1994-03-31,6.738
1993-12-31,5.794
1993-09-30,5.382
1993-06-30,5.776
1993-03-31,6.024
1992-12-31,6.686
1992-09-30,6.354
1992-06-30,7.121
1992-03-31,7.528
1991-12-31,6.699
1991-09-30,7.445
1991-06-28,8.227
1991-03-29,8.061
1990-12-31,8.067
1990-09-28,8.795
1990-06-29,8.412
1990-03-30,8.628
1989-12-29,7.935
1989-09-29,8.286
1989-06-30,8.077
1989-03-31,9.275
1988-12-30,9.137
1988-09-30,8.935
1988-06-30,8.873
1988-03-31,8.542
1987-12-31,8.859
1987-09-30,9.587
1987-06-30,8.367
1987-03-31,7.537
1986-12-31,7.223
1986-09-30,7.421
1986-06-30,7.321
1986-03-31,7.344
1985-12-31,8.986
1985-09-30,10.273
1985-06-28,10.179
1985-03-29,11.647
1984-12-31,11.514
1984-09-28,12.431
1984-06-29,13.839
1984-03-30,12.471
1983-12-30,11.801
1983-09-30,11.390
1983-06-30,10.899
1983-03-31,10.622
1982-12-31,10.472
1982-09-30,11.732
1982-06-30,14.442
1982-03-31,14.182
1981-12-31,13.982
1981-09-30,15.842
1981-06-30,13.862
1981-03-31,13.132
1980-12-31,12.432
1980-09-30,11.862
1980-06-30,10.092
1980-03-31,12.642
1979-12-31,10.332
1979-09-28,9.442
1979-06-29,8.812
1979-03-30,9.112
1978-12-29,9.152
1978-09-29,8.562
1978-06-30,8.622
1978-03-31,8.152
1977-12-30,7.782
1977-09-30,7.412
1977-06-30,7.202
1977-03-31,7.422
1976-12-31,6.812
1976-09-30,7.552
1976-06-30,7.862
1976-03-31,7.662
1975-12-31,7.762
1975-09-30,8.482
1975-06-30,7.962
1975-03-31,8.012
1974-12-31,7.402
1974-09-30,7.942
1974-06-28,7.642
1974-03-29,7.412
1973-12-31,6.902
1973-09-28,6.902
1973-06-29,6.942
1973-03-30,6.732
1972-12-29,6.412
1972-09-29,6.542
1972-06-30,6.152
1972-03-31,6.122
1971-12-31,5.892
1971-09-30,6.002
1971-06-30,6.702
1971-03-31,5.532
1970-12-31,6.502
1970-09-30,7.292
1970-06-30,7.682
1970-03-31,7.082
1969-12-31,7.882
1969-09-30,7.512
1969-06-30,6.732
1969-03-31,6.302
1968-12-31,6.162
1968-09-30,5.492
1968-06-28,5.642
1968-03-29,5.762
1967-12-29,5.702
1967-09-29,5.312
1967-06-30,5.222
1967-03-31,4.502
1966-12-30,4.642
1966-09-30,5.022
1966-06-30,4.972
1966-03-31,4.712
1965-12-31,4.652
1965-09-30,4.352
1965-06-30,4.202
1965-03-31,4.202
1964-12-31,4.212
1964-09-30,4.182
1964-06-30,4.152
1964-03-31,4.232
1963-12-31,4.142
1963-09-30,4.072
1963-06-28,4.002
1963-03-29,3.952
1962-12-31,3.852
1962-09-28,3.942
1962-06-29,4.002
1962-03-30,3.862
