Date,2Y
2025-02-17,4.261
2024-12-31,4.243
2024-09-30,3.642
2024-06-28,4.755
2024-03-29,4.621
2023-12-29,4.251
2023-09-29,5.046
2023-06-30,4.900
2023-03-31,4.027
2022-12-30,4.429
2022-09-30,4.281
2022-06-30,2.957
2022-03-31,2.337
2021-12-31,0.734
2021-09-30,0.277
2021-06-30,0.250
2021-03-31,0.162
2020-12-31,0.122
2020-09-30,0.129
2020-06-30,0.150
2020-03-31,0.248
2019-12-31,1.571
2019-09-30,1.624
2019-06-28,1.756
2019-03-29,2.263
2018-12-31,2.490
2018-09-28,2.821
2018-06-29,2.530
2018-03-30,2.268
2017-12-29,1.885
2017-09-29,1.486
2017-06-30,1.384
2017-03-31,1.256
2016-12-30,1.190
2016-09-30,0.764
2016-06-30,0.584
2016-03-31,0.723
2015-12-31,1.050
2015-09-30,0.631
2015-06-30,0.645
2015-03-31,0.557
2014-12-31,0.666
2014-09-30,0.569
2014-06-30,0.459
2014-03-31,0.420
2013-12-31,0.382
2013-09-30,0.319
2013-06-28,0.357
2013-03-29,0.244
2012-12-31,0.249
2012-09-28,0.232
2012-06-29,0.303
2012-03-30,0.331
2011-12-30,0.241
2011-09-30,0.245
2011-06-30,0.460
2011-03-31,0.825
2010-12-31,0.597
2010-09-30,0.426
2010-06-30,0.605
2010-03-31,1.020
2009-12-31,1.139
2009-09-30,0.949
2009-06-30,1.113
2009-03-31,0.800
2008-12-31,0.768
2008-09-30,1.964
2008-06-30,2.620
2008-03-31,1.586
2007-12-31,3.051
2007-09-28,3.988
2007-06-29,4.862
2007-03-30,4.579
2006-12-29,4.812
2006-09-29,4.687
2006-06-30,5.154
2006-03-31,4.820
2005-12-30,4.404
2005-09-30,4.169
2005-06-30,3.637
2005-03-31,3.779
2004-12-31,3.069
2004-09-30,2.609
2004-06-30,2.681
2004-03-31,1.576
2003-12-31,1.823
2003-09-30,1.462
2003-06-30,1.304
2003-03-31,1.486
2002-12-31,1.602
2002-09-30,1.687
2002-06-28,2.815
2002-03-29,3.711
2001-12-31,3.026
2001-09-28,2.851
2001-06-29,4.242
2001-03-30,4.180
2000-12-29,5.096
2000-09-29,5.978
2000-06-30,6.362
2000-03-31,6.478
1999-12-31,6.214
1999-09-30,5.595
1999-06-30,5.511
1999-03-31,4.987
1998-12-31,4.529
1998-09-30,4.273
1998-06-30,5.471
1998-03-31,5.563
1997-12-31,5.646
1997-09-30,5.779
1997-06-30,6.068
1997-03-31,6.419
1996-12-31,5.867
1996-09-30,6.102
1996-06-28,6.107
1996-03-29,5.760
1995-12-29,5.150
1995-09-29,5.851
1995-06-30,5.793
1995-03-31,6.778
1994-12-30,7.699
1994-09-30,6.585
1994-06-30,6.177
1994-03-31,5.192
1993-12-31,4.234
1993-09-30,3.875
1993-06-30,4.002
1993-03-31,3.957
1992-12-31,4.558
1992-09-30,3.795
1992-06-30,4.834
1992-03-31,5.583
1991-12-31,4.751
1991-09-30,5.982
1991-06-28,6.898
1991-03-29,7.031
1990-12-31,7.228
1990-09-28,7.987
1990-06-29,8.220
1990-03-30,8.622
1989-12-29,7.841
1989-09-29,8.445
1989-06-30,8.042
1989-03-31,9.668
1988-12-30,9.134
1988-09-30,8.474
1988-06-30,8.026
1988-03-31,7.383
1987-12-31,7.779
1987-09-30,8.559
1987-06-30,7.469
1987-03-31,6.621
1986-12-31,6.343
1986-09-30,6.333
1986-06-30,6.771
1986-03-31,6.896
1985-12-31,7.970
1985-09-30,8.852
1985-06-28,8.613
1985-03-29,10.440
1984-12-31,10.007
1984-09-28,12.029
1984-06-29,13.156
1984-03-30,11.491
1983-12-30,10.813
1983-09-30,10.476
1983-06-30,10.150
1983-03-31,9.878
1982-12-31,9.533
1982-09-30,11.238
1982-06-30,14.668
1982-03-31,14.528
1981-12-31,13.639
1981-09-30,16.698
1981-06-30,14.668
1981-03-31,13.179
1980-12-31,13.068
1980-09-30,12.139
1980-06-30,8.979
1980-03-31,14.639
1979-12-31,11.238
1979-09-28,10.108
1979-06-29,8.979
1979-03-30,9.729
1978-12-29,9.988
1978-09-29,8.708
1978-06-30,8.488
1978-03-31,7.708
1977-12-30,7.248
1977-09-30,6.828
1977-06-30,6.089
1977-03-31,6.018
