Date,3M
2025-02-17,4.318
2024-12-31,4.321
2024-09-30,4.627
2024-06-28,5.358
2024-03-29,5.371
2023-12-29,5.344
2023-09-29,5.451
2023-06-30,5.298
2023-03-31,4.749
2022-12-30,4.374
2022-09-30,3.270
2022-06-30,1.667
2022-03-31,0.496
2021-12-31,0.044
2021-09-30,0.037
2021-06-30,0.043
2021-03-31,0.018
2020-12-31,0.072
2020-09-30,0.097
2020-06-30,0.139
2020-03-31,0.092
2019-12-31,1.549
2019-09-30,1.816
2019-06-28,2.093
2019-03-29,2.389
2018-12-31,2.361
2018-09-28,2.200
2018-06-29,1.917
2018-03-30,1.706
2017-12-29,1.382
2017-09-29,1.049
2017-06-30,1.014
2017-03-31,0.754
2016-12-30,0.500
2016-09-30,0.276
2016-06-30,0.261
2016-03-31,0.201
2015-12-31,0.165
2015-09-30,-0.015
2015-06-30,0.008
2015-03-31,0.023
2014-12-31,0.041
2014-09-30,0.018
2014-06-30,0.023
2014-03-31,0.033
2013-12-31,0.068
2013-09-30,0.008
2013-06-28,0.033
2013-03-29,0.074
2012-12-31,0.043
2012-09-28,0.094
2012-06-29,0.084
2012-03-30,0.069
2011-12-30,0.013
2011-09-30,0.023
2011-06-30,0.015
2011-03-31,0.094
2010-12-31,0.125
2010-09-30,0.158
2010-06-30,0.175
2010-03-31,0.155
2009-12-31,0.053
2009-09-30,0.113
2009-06-30,0.188
2009-03-31,0.206
2008-12-31,0.081
2008-09-30,0.910
2008-06-30,1.736
2008-03-31,1.321
2007-12-31,3.242
2007-09-28,3.801
2007-06-29,4.807
2007-03-30,5.033
2006-12-29,5.011
2006-09-29,4.877
2006-06-30,4.981
2006-03-31,4.607
2005-12-30,4.079
2005-09-30,3.543
2005-06-30,3.121
2005-03-31,2.772
2004-12-31,2.217
2004-09-30,1.705
2004-06-30,1.266
2004-03-31,0.943
2003-12-31,0.922
2003-09-30,0.943
2003-06-30,0.851
2003-03-31,1.113
2002-12-31,1.195
2002-09-30,1.552
2002-06-28,1.685
2002-03-29,1.777
2001-12-31,1.725
2001-09-28,2.371
2001-06-29,3.656
2001-03-30,4.286
2000-12-29,5.895
2000-09-29,6.209
2000-06-30,5.854
2000-03-31,5.871
1999-12-31,5.328
1999-09-30,4.851
1999-06-30,4.779
1999-03-31,4.475
1998-12-31,4.452
1998-09-30,4.361
1998-06-30,5.078
1998-03-31,5.120
1997-12-31,5.347
1997-09-30,5.100
1997-06-30,5.167
1997-03-31,5.322
1996-12-31,5.171
1996-09-30,5.032
1996-06-28,5.157
1996-03-29,5.140
1995-12-29,5.077
1995-09-29,5.411
1995-06-30,5.568
1995-03-31,5.870
1994-12-30,5.687
1994-09-30,4.773
1994-06-30,4.215
1994-03-31,3.553
1993-12-31,3.059
1993-09-30,2.977
1993-06-30,3.080
1993-03-31,2.957
1992-12-31,3.141
1992-09-30,2.741
1992-06-30,3.648
1992-03-31,4.144
1991-12-31,3.958
1991-09-30,5.254
1991-06-28,5.693
1991-03-29,5.933
1990-12-31,6.635
1990-09-28,7.350
1990-06-29,7.992
1990-03-30,8.044
1989-12-29,7.779
1989-09-29,8.171
1989-06-30,8.234
1989-03-31,9.184
1988-12-30,8.358
1988-09-30,7.522
1988-06-30,6.757
1988-03-31,5.854
1987-12-31,5.849
1987-09-30,6.786
1987-06-30,5.869
1987-03-31,5.923
1986-12-31,5.807
1986-09-30,5.319
1986-06-30,6.154
1986-03-31,6.510
1985-12-31,7.243
1985-09-30,7.276
1985-06-28,7.008
1985-03-29,8.451
1984-12-31,8.109
1984-09-28,10.607
1984-06-29,10.287
1984-03-30,10.042
1983-12-30,9.276
1983-09-30,9.022
1983-06-30,8.982
